          %pt            int_Sj
       19.616    1.05466E-09
       19.664    1.02611E-09
       19.712    9.98389E-10
       19.760    9.71484E-10
       19.808    9.45366E-10
       19.856    9.20010E-10
       19.904    8.95393E-10
       19.952    8.71490E-10
       20.000    8.48279E-10
       20.048    8.25740E-10
       20.096    8.03851E-10
       20.144    7.82592E-10
       20.192    7.61944E-10
       20.240    7.41886E-10
       20.288    7.22402E-10
       20.336    7.03474E-10
       20.384    6.85083E-10
       20.432    6.67216E-10
       20.480    6.49854E-10
       20.528    6.32982E-10
       20.576    6.16586E-10
       20.624    6.00652E-10
       20.672    5.85164E-10
       20.720    5.70111E-10
       20.768    5.55477E-10
       20.816    5.41252E-10
       20.864    5.27422E-10
       20.912    5.13976E-10
       20.960    5.00902E-10
       21.008    4.88190E-10
       21.056    4.75828E-10
       21.104    4.63806E-10
       21.152    4.52113E-10
       21.200    4.40741E-10
       21.248    4.29680E-10
       21.296    4.18921E-10
       21.344    4.08454E-10
       21.392    3.98271E-10
       21.440    3.88363E-10
       21.488    3.78724E-10
       21.536    3.69345E-10
       21.584    3.60217E-10
       21.632    3.51335E-10
       21.680    3.42691E-10
       21.728    3.34278E-10
       21.776    3.26089E-10
       21.824    3.18119E-10
       21.872    3.10360E-10
       21.920    3.02806E-10
       21.968    2.95453E-10
       22.016    2.88293E-10
       22.064    2.81322E-10
       22.112    2.74534E-10
       22.160    2.67925E-10
       22.208    2.61488E-10
       22.256    2.55219E-10
       22.304    2.49113E-10
       22.352    2.43167E-10
       22.400    2.37374E-10
       22.448    2.31732E-10
       22.496    2.26235E-10
       22.544    2.20880E-10
       22.592    2.15663E-10
       22.640    2.10579E-10
       22.688    2.05626E-10
       22.736    2.00800E-10
       22.784    1.96097E-10
       22.832    1.91513E-10
       22.880    1.87046E-10
       22.928    1.82692E-10
       22.976    1.78449E-10
       23.024    1.74312E-10
       23.072    1.70280E-10
       23.120    1.66349E-10
       23.168    1.62517E-10
       23.216    1.58781E-10
       23.264    1.55138E-10
       23.312    1.51586E-10
       23.360    1.48123E-10
       23.408    1.44745E-10
       23.456    1.41452E-10
       23.504    1.38240E-10
       23.552    1.35107E-10
       23.600    1.32051E-10
       23.648    1.29071E-10
       23.696    1.26163E-10
       23.744    1.23327E-10
       23.792    1.20560E-10
       23.840    1.17861E-10
       23.888    1.93929E-10
       23.936    1.89720E-10
       23.984    1.85610E-10
       24.032    1.81598E-10
       24.080    1.77680E-10
       24.128    1.73853E-10
       24.176    1.70117E-10
       24.224    1.66468E-10
       24.272    1.62904E-10
       24.320    1.59423E-10
       24.368    1.56023E-10
       24.416    1.52702E-10
       24.464    1.49458E-10
       24.512    1.46289E-10
       24.560    1.43193E-10
       24.608    1.40169E-10
       24.656    1.37213E-10
       24.704    1.34326E-10
       24.752    1.31505E-10
       24.800    1.28748E-10
       24.848    1.26055E-10
       24.896    1.23422E-10
       24.944    1.20850E-10
       24.992    1.18336E-10
       25.040    1.15878E-10
       25.088    1.13477E-10
       25.136    1.11129E-10
       25.184    1.08834E-10
       25.232    1.06591E-10
       25.280    1.04398E-10
       25.328    1.02255E-10
       25.376    1.00159E-10
       25.424    9.81100E-11
       25.472    9.61066E-11
       25.520    9.41477E-11
       25.568    9.22323E-11
       25.616    9.03594E-11
       25.664    8.85278E-11
       25.712    8.67367E-11
       25.760    8.49850E-11
       25.808    8.32718E-11
       25.856    8.15961E-11
       25.904    7.99573E-11
       25.952    7.83542E-11
       26.000    7.67861E-11
       26.048    7.52522E-11
       26.096    7.37516E-11
       26.144    7.22837E-11
       26.192    7.08475E-11
       26.240    6.94424E-11
       26.288    6.80676E-11
       26.336    6.67225E-11
       26.384    6.54062E-11
       26.432    6.41183E-11
       26.480    6.28580E-11
       26.528    6.16246E-11
       26.576    6.04176E-11
       26.624    5.92363E-11
       26.672    5.80802E-11
       26.720    5.69487E-11
       26.768    5.58411E-11
       26.816    5.47570E-11
       26.864    5.36957E-11
       26.912    5.26569E-11
       26.960    5.16400E-11
       27.008    5.06445E-11
       27.056    4.96698E-11
       27.104    4.87156E-11
       27.152    4.77813E-11
       27.200    4.68665E-11
       27.248    4.59708E-11
       27.296    4.50938E-11
       27.344    4.42349E-11
       27.392    4.33939E-11
       27.440    4.25702E-11
       27.488    4.17636E-11
       27.536    4.09737E-11
       27.584    4.02000E-11
       27.632    3.94422E-11
       27.680    3.86999E-11
       27.728    3.79729E-11
       27.776    3.72607E-11
       27.824    3.65631E-11
       27.872    3.58797E-11
       27.920    3.52102E-11
       27.968    3.45543E-11
       28.016    3.39117E-11
       28.064    3.32821E-11
       28.112    3.26653E-11
       28.160    3.20609E-11
       28.208    3.14687E-11
       28.256    3.08883E-11
       28.304    3.03197E-11
       28.352    2.97624E-11
       28.400    2.92163E-11
       28.448    2.86811E-11
       28.496    2.81566E-11
       28.544    2.76425E-11
       28.592    2.71386E-11
       28.640    2.66448E-11
       28.688    2.61607E-11
       28.736    2.56862E-11
       28.784    2.52210E-11
       28.832    2.47651E-11
       28.880    2.43181E-11
       28.928    2.38799E-11
       28.976    2.34503E-11
       29.024    2.30291E-11
       29.072    2.26161E-11
       29.120    2.22112E-11
       29.168    2.18142E-11
       29.216    2.14250E-11
       29.264    2.10433E-11
       29.312    2.06690E-11
       29.360    2.03019E-11
       29.408    1.99420E-11
       29.456    1.95890E-11
       29.504    1.92428E-11
       29.552    1.89032E-11
       29.600    1.85702E-11
       29.648    1.82436E-11
       29.696    1.79232E-11
       29.744    1.76090E-11
       29.792    1.73007E-11
       29.840    1.69983E-11
       29.888    1.67017E-11
       29.936    1.64107E-11
       29.984    1.61253E-11
       30.032    1.58452E-11
       30.080    1.55705E-11
       30.128    1.53009E-11
       30.176    1.50364E-11
       30.224    1.47769E-11
       30.272    1.45223E-11
       30.320    1.42724E-11
       30.368    1.40272E-11
       30.416    1.37866E-11
       30.464    1.35505E-11
       30.512    1.33188E-11
       30.560    1.30915E-11
       30.608    1.28683E-11
       30.656    1.26493E-11
       30.704    1.24344E-11
       30.752    1.22234E-11
       30.800    1.20163E-11
       30.848    1.18131E-11
       30.896    1.16135E-11
       30.944    1.14177E-11
       30.992    1.12254E-11
       31.040    1.10367E-11
       31.088    1.08515E-11
       31.136    1.06696E-11
       31.184    1.04910E-11
       31.232    1.03157E-11
       31.280    1.01436E-11
       31.328    9.97460E-12
       31.376    9.80868E-12
       31.424    9.64576E-12
       31.472    9.48579E-12
       31.520    9.32870E-12
       31.568    9.17445E-12
       31.616    9.02298E-12
       31.664    8.87423E-12
       31.712    8.72814E-12
       31.760    8.58468E-12
       31.808    8.44379E-12
       31.856    8.30541E-12
       31.904    8.16951E-12
       31.952    8.03603E-12
       32.000    7.90492E-12
       32.048    7.77614E-12
       32.096    7.64964E-12
       32.144    7.52538E-12
       32.192    7.40332E-12
       32.240    1.46781E-11
       32.288    1.44436E-11
       32.336    1.42132E-11
       32.384    1.39868E-11
       32.432    1.37644E-11
       32.480    1.35458E-11
       32.528    1.33309E-11
       32.576    1.31198E-11
       32.624    1.29123E-11
       32.672    1.27084E-11
       32.720    1.25079E-11
       32.768    1.23110E-11
       32.816    1.21174E-11
       32.864    1.19271E-11
       32.912    1.17400E-11
       32.960    1.15562E-11
       33.008    1.13755E-11
       33.056    1.11978E-11
       33.104    1.10232E-11
       33.152    1.08516E-11
       33.200    1.06828E-11
       33.248    1.05169E-11
       33.296    1.03538E-11
       33.344    1.01935E-11
       33.392    1.00358E-11
       33.440    9.88085E-12
       33.488    9.72846E-12
       33.536    9.57864E-12
       33.584    9.43133E-12
       33.632    9.28648E-12
       33.680    9.14406E-12
       33.728    9.00400E-12
       33.776    8.86628E-12
       33.824    8.73086E-12
       33.872    8.59768E-12
       33.920    8.46672E-12
       33.968    8.33792E-12
       34.016    8.21127E-12
       34.064    8.08670E-12
       34.112    7.96418E-12
       34.160    7.84369E-12
       34.208    7.72518E-12
       34.256    7.60862E-12
       34.304    7.49397E-12
       34.352    7.38120E-12
       34.400    7.27028E-12
       34.448    7.16117E-12
       34.496    7.05385E-12
       34.544    6.94827E-12
       34.592    6.84442E-12
       34.640    6.74225E-12
       34.688    6.64174E-12
       34.736    6.54286E-12
       34.784    6.44558E-12
       34.832    6.34988E-12
       34.880    6.25572E-12
       34.928    6.16308E-12
       34.976    6.07194E-12
       35.024    5.98226E-12
       35.072    5.89403E-12
       35.120    5.80721E-12
       35.168    5.72178E-12
       35.216    5.63771E-12
       35.264    5.55499E-12
       35.312    5.47360E-12
       35.360    5.39349E-12
       35.408    5.31467E-12
       35.456    5.23710E-12
       35.504    5.16076E-12
       35.552    5.08563E-12
       35.600    5.01170E-12
       35.648    4.93893E-12
       35.696    4.86731E-12
       35.744    4.79682E-12
       35.792    4.72744E-12
       35.840    4.65915E-12
       35.888    4.59194E-12
       35.936    4.52578E-12
       35.984    4.46066E-12
       36.032    4.39655E-12
       36.080    4.33345E-12
       36.128    4.27134E-12
       36.176    4.21020E-12
       36.224    4.15000E-12
       36.272    4.09075E-12
       36.320    4.03241E-12
       36.368    3.97498E-12
       36.416    3.91844E-12
       36.464    3.86277E-12
       36.512    3.80797E-12
       36.560    3.75401E-12
       36.608    3.70088E-12
       36.656    3.64857E-12
       36.704    3.59707E-12
       36.752    3.54635E-12
       36.800    3.49642E-12
       36.848    3.44725E-12
       36.896    3.39883E-12
       36.944    3.35115E-12
       36.992    3.30420E-12
       37.040    3.25796E-12
       37.088    3.21243E-12
       37.136    3.16759E-12
       37.184    3.12343E-12
       37.232    3.07995E-12
       37.280    3.03712E-12
       37.328    2.99494E-12
       37.376    2.95339E-12
       37.424    2.91248E-12
       37.472    2.87218E-12
       37.520    2.83248E-12
       37.568    2.79339E-12
       37.616    2.75488E-12
       37.664    2.71695E-12
       37.712    2.67958E-12
       37.760    2.64278E-12
       37.808    2.60653E-12
       37.856    2.57081E-12
       37.904    2.53563E-12
       37.952    2.50098E-12
       38.000    2.46683E-12
       38.048    2.43320E-12
       38.096    2.40006E-12
       38.144    2.36742E-12
       38.192    2.33526E-12
       38.240    2.30357E-12
       38.288    2.27235E-12
       38.336    2.24160E-12
       38.384    2.21129E-12
       38.432    2.18143E-12
       38.480    2.15201E-12
       38.528    2.12302E-12
       38.576    2.09446E-12
       38.624    2.06631E-12
       38.672    2.03858E-12
       38.720    2.01125E-12
       38.768    1.98432E-12
       38.816    1.95778E-12
       38.864    1.93163E-12
       38.912    1.90586E-12
       38.960    1.88046E-12
       39.008    1.85543E-12
       39.056    1.83076E-12
       39.104    1.80645E-12
       39.152    1.78250E-12
       39.200    1.75888E-12
       39.248    1.73561E-12
       39.296    1.71267E-12
       39.344    1.69006E-12
       39.392    1.66778E-12
       39.440    1.64582E-12
       39.488    1.62417E-12
       39.536    1.60283E-12
       39.584    1.58180E-12
       39.632    1.56106E-12
       39.680    1.54062E-12
       39.728    1.52048E-12
       39.776    1.50062E-12
       39.824    1.48104E-12
       39.872    1.46174E-12
       39.920    1.44271E-12
       39.968    1.42396E-12
       40.016    1.40546E-12
       40.064    1.38723E-12
       40.112    1.36926E-12
       40.160    1.35154E-12
       40.208    1.33407E-12
       40.256    1.31685E-12
       40.304    1.29986E-12
       40.352    1.28312E-12
       40.400    1.26661E-12
       40.448    1.25033E-12
       40.496    1.23428E-12
       40.544    1.21845E-12
       40.592    1.20285E-12
       40.640    1.18746E-12
       40.688    1.17229E-12
       40.736    1.15732E-12
       40.784    1.14257E-12
       40.832    1.12802E-12
       40.880    1.11367E-12
       40.928    1.09952E-12
       40.976    1.08556E-12
       41.024    1.07180E-12
       41.072    1.05823E-12
       41.120    1.04484E-12
       41.168    1.03164E-12
       41.216    1.01862E-12
       41.264    1.00578E-12
       41.312    9.93117E-13
       41.360    9.80626E-13
       41.408    9.68306E-13
       41.456    9.56154E-13
       41.504    9.44168E-13
       41.552    9.32345E-13
       41.600    9.20685E-13
       41.648    9.09182E-13
       41.696    8.97836E-13
       41.744    8.86644E-13
       41.792    8.75603E-13
       41.840    8.64712E-13
       41.888    8.53969E-13
       41.936    8.43370E-13
       41.984    8.32915E-13
       42.032    8.22601E-13
       42.080    8.12426E-13
       42.128    8.02387E-13
       42.176    7.92485E-13
       42.224    7.82715E-13
       42.272    7.73075E-13
       42.320    7.63565E-13
       42.368    7.54182E-13
       42.416    7.44925E-13
       42.464    7.35791E-13
       42.512    7.26779E-13
       42.560    7.17888E-13
       42.608    7.09114E-13
       42.656    7.00457E-13
       42.704    6.91916E-13
       42.752    6.83488E-13
       42.800    6.75171E-13
       42.848    6.66964E-13
       42.896    6.58866E-13
       42.944    6.50875E-13
       42.992    6.42989E-13
       43.040    6.35208E-13
       43.088    6.27528E-13
       43.136    6.19950E-13
       43.184    6.12471E-13
       43.232    6.05091E-13
       43.280    5.97808E-13
       43.328    5.90619E-13
       43.376    5.83525E-13
       43.424    5.76523E-13
       43.472    5.69613E-13
       43.520    5.62793E-13
       43.568    5.56062E-13
       43.616    5.49418E-13
       43.664    5.42861E-13
       43.712    5.36389E-13
       43.760    5.30001E-13
       43.808    5.23696E-13
       43.856    5.17472E-13
       43.904    5.11329E-13
       43.952    5.05265E-13
       44.000    4.99279E-13
       44.048    4.93370E-13
       44.096    4.87538E-13
       44.144    4.81780E-13
       44.192    4.76097E-13
       44.240    4.70486E-13
       44.288    4.64948E-13
       44.336    4.59480E-13
       44.384    4.54083E-13
       44.432    4.48754E-13
       44.480    4.43493E-13
       44.528    4.38300E-13
       44.576    4.33172E-13
       44.624    4.28110E-13
       44.672    4.23112E-13
       44.720    4.18178E-13
       44.768    4.13306E-13
       44.816    4.08496E-13
       44.864    4.03747E-13
       44.912    3.99059E-13
       44.960    3.94429E-13
       45.008    3.89858E-13
       45.056    3.85344E-13
       45.104    3.80887E-13
       45.152    3.76486E-13
       45.200    3.72141E-13
       45.248    3.67850E-13
       45.296    3.63613E-13
       45.344    3.59429E-13
       45.392    3.55298E-13
       45.440    3.51218E-13
       45.488    3.47189E-13
       45.536    3.43211E-13
       45.584    3.39282E-13
       45.632    3.35402E-13
       45.680    3.31570E-13
       45.728    3.27786E-13
       45.776    3.24049E-13
       45.824    3.20358E-13
       45.872    3.16713E-13
       45.920    3.13113E-13
       45.968    3.09558E-13
       46.016    3.06046E-13
       46.064    3.02578E-13
       46.112    2.99153E-13
       46.160    2.95769E-13
       46.208    2.92428E-13
       46.256    2.89127E-13
       46.304    2.85867E-13
       46.352    2.82647E-13
       46.400    2.79467E-13
       46.448    2.76325E-13
       46.496    2.73222E-13
       46.544    2.70157E-13
       46.592    2.67129E-13
       46.640    2.64138E-13
       46.688    2.61184E-13
       46.736    2.58265E-13
       46.784    2.55382E-13
       46.832    2.52534E-13
       46.880    2.49721E-13
       46.928    2.46942E-13
       46.976    2.44196E-13
       47.024    2.41483E-13
       47.072    2.38804E-13
       47.120    2.36156E-13
       47.168    2.33541E-13
       47.216    2.30957E-13
       47.264    2.28404E-13
       47.312    2.25882E-13
       47.360    2.23390E-13
       47.408    2.20928E-13
       47.456    2.18496E-13
       47.504    2.16093E-13
