          %pt            TT            TS            SS            Tot
        4.604    5.48913E-09    6.82076E-08    1.79285E-08    9.16252E-08
        4.610    5.37488E-09    6.74253E-08    1.77806E-08    9.05807E-08
        4.617    5.26294E-09    6.66491E-08    1.76340E-08    8.95460E-08
        4.623    5.15326E-09    6.58789E-08    1.74888E-08    8.85210E-08
        4.630    5.04581E-09    6.51149E-08    1.73448E-08    8.75055E-08
        4.636    4.94053E-09    6.43569E-08    1.72022E-08    8.64996E-08
        4.642    4.83739E-09    6.36049E-08    1.70608E-08    8.55031E-08
        4.649    4.73635E-09    6.28590E-08    1.69208E-08    8.45161E-08
        4.655    4.63736E-09    6.21190E-08    1.67820E-08    8.35384E-08
        4.662    4.54038E-09    6.13851E-08    1.66444E-08    8.25699E-08
        4.668    4.44537E-09    6.06572E-08    1.65081E-08    8.16107E-08
        4.675    4.35230E-09    5.99353E-08    1.63730E-08    8.06606E-08
        4.681    4.26112E-09    5.92194E-08    1.62391E-08    7.97196E-08
        4.688    4.17181E-09    5.85093E-08    1.61064E-08    7.87876E-08
        4.694    4.08431E-09    5.78053E-08    1.59749E-08    7.78645E-08
        4.700    3.99860E-09    5.71071E-08    1.58446E-08    7.69504E-08
        4.707    3.91465E-09    5.64149E-08    1.57155E-08    7.60450E-08
        4.713    3.83240E-09    5.57286E-08    1.55875E-08    7.51485E-08
        4.720    3.75184E-09    5.50481E-08    1.54606E-08    7.42606E-08
        4.726    3.67294E-09    5.43735E-08    1.53349E-08    7.33814E-08
        4.733    3.59564E-09    5.37047E-08    1.52103E-08    7.25107E-08
        4.739    3.51993E-09    5.30418E-08    1.50868E-08    7.16486E-08
        4.746    3.44578E-09    5.23847E-08    1.49645E-08    7.07949E-08
        4.752    3.37314E-09    5.17333E-08    1.48432E-08    6.99497E-08
        4.759    3.30200E-09    5.10878E-08    1.47230E-08    6.91127E-08
        4.765    3.23232E-09    5.04479E-08    1.46038E-08    6.82841E-08
        4.771    3.16407E-09    4.98139E-08    1.44857E-08    6.74637E-08
        4.778    3.09723E-09    4.91855E-08    1.43687E-08    6.66514E-08
        4.784    3.03176E-09    4.85628E-08    1.42527E-08    6.58473E-08
        4.791    2.96765E-09    4.79458E-08    1.41378E-08    6.50512E-08
        4.797    2.90485E-09    4.73344E-08    1.40238E-08    6.42631E-08
        4.804    2.84335E-09    4.67287E-08    1.39109E-08    6.34829E-08
        4.810    2.78312E-09    4.61286E-08    1.37989E-08    6.27106E-08
        4.817    2.72414E-09    4.55341E-08    1.36880E-08    6.19462E-08
        4.823    2.66637E-09    4.49451E-08    1.35780E-08    6.11895E-08
        4.829    2.60980E-09    4.43617E-08    1.34690E-08    6.04405E-08
        4.836    2.55440E-09    4.37838E-08    1.33610E-08    5.96992E-08
        4.842    2.50014E-09    4.32114E-08    1.32539E-08    5.89654E-08
        4.849    2.44701E-09    4.26445E-08    1.31477E-08    5.82392E-08
        4.855    2.39499E-09    4.20830E-08    1.30425E-08    5.75205E-08
        4.862    2.34404E-09    4.15270E-08    1.29382E-08    5.68092E-08
