          %pt            int_Sj
       29.168    2.44290E-11
       29.216    2.39886E-11
       29.264    2.35569E-11
       29.312    2.31336E-11
       29.360    2.27186E-11
       29.408    2.23117E-11
       29.456    2.19128E-11
       29.504    2.15216E-11
       29.552    2.11380E-11
       29.600    2.07619E-11
       29.648    2.03930E-11
       29.696    2.00313E-11
       29.744    1.96766E-11
       29.792    1.93287E-11
       29.840    1.89875E-11
       29.888    1.86528E-11
       29.936    1.83246E-11
       29.984    1.80027E-11
       30.032    1.76869E-11
       30.080    1.73772E-11
       30.128    1.70734E-11
       30.176    1.67753E-11
       30.224    1.64830E-11
       30.272    1.61961E-11
       30.320    1.59147E-11
       30.368    1.56387E-11
       30.416    1.53678E-11
       30.464    1.51020E-11
       30.512    1.48413E-11
       30.560    1.45855E-11
       30.608    1.43344E-11
       30.656    1.40881E-11
       30.704    1.38464E-11
       30.752    1.36091E-11
       30.800    1.33764E-11
       30.848    1.31479E-11
       30.896    1.29237E-11
       30.944    1.27037E-11
       30.992    1.24877E-11
       31.040    1.22758E-11
       31.088    1.20677E-11
       31.136    1.18635E-11
       31.184    1.16631E-11
       31.232    1.14663E-11
       31.280    1.12732E-11
       31.328    1.10836E-11
       31.376    1.08975E-11
       31.424    1.07147E-11
       31.472    1.05353E-11
       31.520    1.03592E-11
       31.568    1.01863E-11
       31.616    1.00166E-11
       31.664    9.84988E-12
       31.712    9.68621E-12
       31.760    9.52550E-12
       31.808    9.36770E-12
       31.856    9.21275E-12
       31.904    9.06059E-12
       31.952    8.91116E-12
       32.000    8.76442E-12
       32.048    8.62031E-12
       32.096    8.47878E-12
       32.144    8.33977E-12
       32.192    8.20325E-12
       32.240    8.06918E-12
       32.288    7.93747E-12
       32.336    7.80812E-12
       32.384    7.68104E-12
       32.432    7.55624E-12
       32.480    7.43364E-12
       32.528    1.47373E-11
       32.576    1.45018E-11
       32.624    1.42704E-11
       32.672    1.40431E-11
       32.720    1.38196E-11
       32.768    1.36001E-11
       32.816    1.33843E-11
       32.864    1.31722E-11
       32.912    1.29638E-11
       32.960    1.27590E-11
       33.008    1.25577E-11
       33.056    1.23599E-11
       33.104    1.21655E-11
       33.152    1.19743E-11
       33.200    1.17865E-11
       33.248    1.16019E-11
       33.296    1.14204E-11
       33.344    1.12420E-11
       33.392    1.10666E-11
       33.440    1.08942E-11
       33.488    1.07247E-11
       33.536    1.05581E-11
       33.584    1.03943E-11
       33.632    1.02333E-11
       33.680    1.00750E-11
       33.728    9.91935E-12
       33.776    9.76632E-12
       33.824    9.61587E-12
       33.872    9.46792E-12
       33.920    9.32247E-12
       33.968    9.17943E-12
       34.016    9.03880E-12
       34.064    8.90050E-12
       34.112    8.76450E-12
       34.160    8.63077E-12
       34.208    8.49925E-12
       34.256    8.36992E-12
       34.304    8.24273E-12
       34.352    8.11764E-12
