          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        1.297    6.92397E-01    3.06341E-17    1.11803E-17    8.54524E-22    1.63654E-17    8.79581E-22    6.92397E-01
        1.496    4.14289E-01    2.11395E-17    8.32985E-18    2.86833E-22    1.50010E-17    2.98084E-22    4.14289E-01
        1.696    2.39534E-01    1.45786E-17    6.28416E-18    1.09279E-22    1.37932E-17    1.14695E-22    2.39534E-01
        1.895    1.35112E-01    1.01005E-17    4.80099E-18    4.60210E-23    1.27303E-17    4.87941E-23    1.35112E-01
        2.138    6.57617E-02    6.53672E-18    3.51981E-18    1.95395E-23    1.15686E-17    2.10650E-23    6.57617E-02
        2.438    2.63029E-02    3.89719E-18    2.45062E-18    6.93743E-24    1.02944E-17    7.60647E-24    2.63029E-02
        2.779    9.05289E-03    2.23086E-18    1.66453E-18    2.42937E-24    9.08414E-18    2.71413E-24    9.05289E-03
        3.179    2.52540E-03    1.20512E-18    1.09179E-18    8.28165E-25    7.95509E-18    9.46478E-25    2.52540E-03
        3.618    6.10288E-04    6.42628E-19    7.13149E-19    2.75504E-25    6.97354E-18    3.19822E-25    6.10288E-04
        4.118    1.18587E-04    3.31551E-19    4.57462E-19    9.66148E-26    6.07019E-18    1.15165E-25    1.18587E-04
        4.656    2.01425E-05    1.72959E-19    2.96530E-19    3.54406E-26    5.28447E-18    4.34235E-26    2.01425E-05
        5.386    1.78304E-06    7.78164E-20    1.73677E-19    1.15323E-26    4.47213E-18    1.49235E-26    1.78304E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.30646E+00    1.27987E-16    7.47699E-17    9.16707E-19    2.28879E-17    9.14265E-19    2.30646E+00
        0.700    2.18757E+00    8.48806E-17    3.14260E-17    8.33215E-20    2.12578E-17    8.36001E-20    2.18757E+00
        0.899    1.66667E+00    6.22799E-17    2.11840E-17    1.33546E-20    1.95435E-17    1.35005E-20    1.66667E+00
        1.098    1.12696E+00    4.42615E-17    1.52876E-17    3.01196E-21    1.78887E-17    3.07080E-21    1.12696E+00
        1.297    7.07784E-01    3.07941E-17    1.12389E-17    8.54892E-22    1.63654E-17    8.79581E-22    7.07784E-01
        1.496    4.23495E-01    2.12466E-17    8.37250E-18    2.86956E-22    1.50010E-17    2.98084E-22    4.23495E-01
        1.696    2.44857E-01    1.46500E-17    6.31553E-18    1.09326E-22    1.37932E-17    1.14695E-22    2.44857E-01
        1.895    1.38115E-01    1.01481E-17    4.82432E-18    4.60409E-23    1.27303E-17    4.87941E-23    1.38115E-01
        2.138    6.72231E-02    6.56610E-18    3.53634E-18    1.95486E-23    1.15686E-17    2.10650E-23    6.72231E-02
        2.438    2.68874E-02    3.91362E-18    2.46166E-18    6.94063E-24    1.02944E-17    7.60647E-24    2.68874E-02
        2.779    9.25407E-03    2.23958E-18    1.67170E-18    2.43047E-24    9.08414E-18    2.71413E-24    9.25407E-03
        3.179    2.58152E-03    1.20943E-18    1.09624E-18    8.28534E-25    7.95509E-18    9.46478E-25    2.58152E-03
        3.618    6.23850E-04    6.44716E-19    7.15884E-19    2.75618E-25    6.97354E-18    3.19822E-25    6.23850E-04
        4.118    1.21222E-04    3.32520E-19    4.59102E-19    9.66539E-26    6.07019E-18    1.15165E-25    1.21222E-04
        4.656    2.05901E-05    1.73413E-19    2.97522E-19    3.54545E-26    5.28447E-18    4.34235E-26    2.05901E-05
        5.386    1.82266E-06    7.79941E-20    1.74207E-19    1.15370E-26    4.47213E-18    1.49235E-26    1.82266E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.35660E+00    1.28535E-16    7.50313E-17    9.17043E-19    2.28879E-17    9.14265E-19    2.35660E+00
        0.700    2.23512E+00    8.53368E-17    3.15860E-17    8.33545E-20    2.12578E-17    8.36001E-20    2.23512E+00
        0.899    1.70290E+00    6.26175E-17    2.12972E-17    1.33601E-20    1.95435E-17    1.35005E-20    1.70290E+00
        1.098    1.15146E+00    4.44972E-17    1.53688E-17    3.01322E-21    1.78887E-17    3.07080E-21    1.15146E+00
        1.297    7.23170E-01    3.09540E-17    1.12975E-17    8.55252E-22    1.63654E-17    8.79581E-22    7.23170E-01
        1.496    4.32702E-01    2.13537E-17    8.41514E-18    2.87078E-22    1.50010E-17    2.98084E-22    4.32702E-01
        1.696    2.50180E-01    1.47214E-17    6.34689E-18    1.09373E-22    1.37932E-17    1.14695E-22    2.50180E-01
        1.895    1.41117E-01    1.01958E-17    4.84764E-18    4.60603E-23    1.27303E-17    4.87941E-23    1.41117E-01
        2.138    6.86845E-02    6.59548E-18    3.55287E-18    1.95575E-23    1.15686E-17    2.10650E-23    6.86845E-02
        2.438    2.74719E-02    3.93005E-18    2.47271E-18    6.94377E-24    1.02944E-17    7.60647E-24    2.74719E-02
        2.779    9.45525E-03    2.24830E-18    1.67886E-18    2.43155E-24    9.08414E-18    2.71413E-24    9.45525E-03
        3.179    2.63764E-03    1.21374E-18    1.10069E-18    8.28896E-25    7.95509E-18    9.46478E-25    2.63764E-03
        3.618    6.37412E-04    6.46805E-19    7.18620E-19    2.75729E-25    6.97354E-18    3.19822E-25    6.37412E-04
        4.118    1.23857E-04    3.33489E-19    4.60742E-19    9.66922E-26    6.07019E-18    1.15165E-25    1.23857E-04
        4.656    2.10377E-05    1.73866E-19    2.98513E-19    3.54681E-26    5.28447E-18    4.34235E-26    2.10377E-05
        5.386    1.86229E-06    7.81719E-20    1.74738E-19    1.15416E-26    4.47213E-18    1.49235E-26    1.86229E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.40674E+00    1.29082E-16    7.52917E-17    9.17373E-19    2.28879E-17    9.14265E-19    2.40674E+00
        0.700    2.28268E+00    8.57929E-17    3.17459E-17    8.33868E-20    2.12578E-17    8.36001E-20    2.28268E+00
        0.899    1.73913E+00    6.29550E-17    2.14104E-17    1.33655E-20    1.95435E-17    1.35005E-20    1.73913E+00
        1.098    1.17596E+00    4.47330E-17    1.54500E-17    3.01445E-21    1.78887E-17    3.07080E-21    1.17596E+00
        1.297    7.38557E-01    3.11139E-17    1.13561E-17    8.55605E-22    1.63654E-17    8.79581E-22    7.38557E-01
        1.496    4.41908E-01    2.14608E-17    8.45778E-18    2.87197E-22    1.50010E-17    2.98084E-22    4.41908E-01
        1.696    2.55503E-01    1.47928E-17    6.37825E-18    1.09418E-22    1.37932E-17    1.14695E-22    2.55503E-01
        1.895    1.44120E-01    1.02434E-17    4.87097E-18    4.60793E-23    1.27303E-17    4.87941E-23    1.44120E-01
        2.138    7.01459E-02    6.62485E-18    3.56940E-18    1.95662E-23    1.15686E-17    2.10650E-23    7.01459E-02
        2.438    2.80564E-02    3.94648E-18    2.48375E-18    6.94684E-24    1.02944E-17    7.60647E-24    2.80564E-02
        2.779    9.65642E-03    2.25702E-18    1.68603E-18    2.43261E-24    9.08414E-18    2.71413E-24    9.65642E-03
        3.179    2.69376E-03    1.21805E-18    1.10514E-18    8.29251E-25    7.95509E-18    9.46478E-25    2.69376E-03
        3.618    6.50974E-04    6.48894E-19    7.21355E-19    2.75838E-25    6.97354E-18    3.19822E-25    6.50974E-04
        4.118    1.26492E-04    3.34458E-19    4.62382E-19    9.67296E-26    6.07019E-18    1.15165E-25    1.26492E-04
        4.656    2.14853E-05    1.74319E-19    2.99505E-19    3.54815E-26    5.28447E-18    4.34235E-26    2.14853E-05
        5.386    1.90191E-06    7.83497E-20    1.75269E-19    1.15461E-26    4.47213E-18    1.49235E-26    1.90191E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.45688E+00    1.29630E-16    7.55513E-17    9.17698E-19    2.28879E-17    9.14265E-19    2.45688E+00
        0.700    2.33023E+00    8.62490E-17    3.19057E-17    8.34186E-20    2.12578E-17    8.36001E-20    2.33023E+00
        0.899    1.77537E+00    6.32926E-17    2.15236E-17    1.33707E-20    1.95435E-17    1.35005E-20    1.77537E+00
        1.098    1.20046E+00    4.49687E-17    1.55311E-17    3.01566E-21    1.78887E-17    3.07080E-21    1.20046E+00
        1.297    7.53943E-01    3.12738E-17    1.14146E-17    8.55952E-22    1.63654E-17    8.79581E-22    7.53943E-01
        1.496    4.51114E-01    2.15678E-17    8.50041E-18    2.87313E-22    1.50010E-17    2.98084E-22    4.51114E-01
        1.696    2.60826E-01    1.48642E-17    6.40961E-18    1.09462E-22    1.37932E-17    1.14695E-22    2.60826E-01
        1.895    1.47122E-01    1.02911E-17    4.89429E-18    4.60980E-23    1.27303E-17    4.87941E-23    1.47122E-01
        2.138    7.16072E-02    6.65423E-18    3.58593E-18    1.95747E-23    1.15686E-17    2.10650E-23    7.16072E-02
        2.438    2.86409E-02    3.96291E-18    2.49480E-18    6.94986E-24    1.02944E-17    7.60647E-24    2.86409E-02
        2.779    9.85760E-03    2.26574E-18    1.69319E-18    2.43364E-24    9.08414E-18    2.71413E-24    9.85760E-03
        3.179    2.74988E-03    1.22236E-18    1.10959E-18    8.29598E-25    7.95509E-18    9.46478E-25    2.74988E-03
        3.618    6.64536E-04    6.50982E-19    7.24091E-19    2.75945E-25    6.97354E-18    3.19822E-25    6.64536E-04
        4.118    1.29128E-04    3.35427E-19    4.64022E-19    9.67664E-26    6.07019E-18    1.15165E-25    1.29128E-04
        4.656    2.19329E-05    1.74773E-19    3.00496E-19    3.54946E-26    5.28447E-18    4.34235E-26    2.19329E-05
        5.386    1.94153E-06    7.85275E-20    1.75800E-19    1.15506E-26    4.47213E-18    1.49235E-26    1.94153E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    2.50702E+00    1.30177E-16    7.58100E-17    9.18017E-19    2.28879E-17    9.14265E-19    2.50702E+00
        0.700    2.37779E+00    8.67050E-17    3.20653E-17    8.34497E-20    2.12578E-17    8.36001E-20    2.37779E+00
        0.899    1.81160E+00    6.36301E-17    2.16367E-17    1.33759E-20    1.95435E-17    1.35005E-20    1.81160E+00
        1.098    1.22496E+00    4.52044E-17    1.56123E-17    3.01685E-21    1.78887E-17    3.07080E-21    1.22496E+00
        1.297    7.69330E-01    3.14337E-17    1.14732E-17    8.56291E-22    1.63654E-17    8.79581E-22    7.69330E-01
        1.496    4.60321E-01    2.16749E-17    8.54305E-18    2.87428E-22    1.50010E-17    2.98084E-22    4.60321E-01
        1.696    2.66149E-01    1.49355E-17    6.44096E-18    1.09506E-22    1.37932E-17    1.14695E-22    2.66149E-01
        1.895    1.50125E-01    1.03387E-17    4.91761E-18    4.61163E-23    1.27303E-17    4.87941E-23    1.50125E-01
        2.138    7.30686E-02    6.68361E-18    3.60247E-18    1.95831E-23    1.15686E-17    2.10650E-23    7.30686E-02
        2.438    2.92254E-02    3.97933E-18    2.50584E-18    6.95281E-24    1.02944E-17    7.60647E-24    2.92254E-02
        2.779    1.00588E-02    2.27446E-18    1.70036E-18    2.43465E-24    9.08414E-18    2.71413E-24    1.00588E-02
        3.179    2.80600E-03    1.22667E-18    1.11404E-18    8.29939E-25    7.95509E-18    9.46478E-25    2.80600E-03
        3.618    6.78098E-04    6.53071E-19    7.26826E-19    2.76050E-25    6.97354E-18    3.19822E-25    6.78098E-04
        4.118    1.31763E-04    3.36397E-19    4.65662E-19    9.68024E-26    6.07019E-18    1.15165E-25    1.31763E-04
        4.656    2.23805E-05    1.75226E-19    3.01487E-19    3.55074E-26    5.28447E-18    4.34235E-26    2.23805E-05
        5.386    1.98116E-06    7.87053E-20    1.76330E-19    1.15549E-26    4.47213E-18    1.49235E-26    1.98116E-06
