2.76 TeV: chisq sums over 2 mesons(D0, Ds).
scan: gamma0: 1.0-3.0(+0.1), q0: 7.0-15.0(+0.5).

Parameters: 1.8, 13.5 | Error: 3.1389081998755
Parameters: 1.8, 14.0 | Error: 3.21058704453289
Parameters: 1.8, 14.5 | Error: 3.27681052015186
Parameters: 1.8, 15.0 | Error: 3.33759092972294
Parameters: 1.9, 7.0 | Error: 3.460769654223429
Parameters: 1.9, 7.5 | Error: 2.803248029341524
Parameters: 1.9, 8.0 | Error: 2.5026879797636283
Parameters: 1.9, 8.5 | Error: 2.39834518445612
Parameters: 1.9, 9.0 | Error: 2.4012644134682297
Parameters: 1.9, 9.5 | Error: 2.4613674171901403
Parameters: 1.9, 10.0 | Error: 2.5501475810514203
Parameters: 1.9, 10.5 | Error: 2.6512390432237503
Parameters: 1.9, 11.0 | Error: 2.75535323612855
Parameters: 1.9, 11.5 | Error: 2.8574483044119
Parameters: 1.9, 12.0 | Error: 2.95481587603173
Parameters: 1.9, 12.5 | Error: 3.04596101650657
Parameters: 1.9, 13.0 | Error: 3.13049818278581
Parameters: 1.9, 13.5 | Error: 3.20855859059642
Parameters: 1.9, 14.0 | Error: 3.28022513914
Parameters: 1.9, 14.5 | Error: 3.34597508035141
Parameters: 1.9, 15.0 | Error: 3.40605701094851
Parameters: 2.0, 7.0 | Error: 3.043997639061637
Parameters: 2.0, 7.5 | Error: 2.5670383372399623
Parameters: 2.0, 8.0 | Error: 2.379152668591245
Parameters: 2.0, 8.5 | Error: 2.34659941640349
Parameters: 2.0, 9.0 | Error: 2.39552726097727
Parameters: 2.0, 9.5 | Error: 2.48520733119265
Parameters: 2.0, 10.0 | Error: 2.59306931474414
Parameters: 2.0, 10.5 | Error: 2.7064251881459302
Parameters: 2.0, 11.0 | Error: 2.8181496294738597
Parameters: 2.0, 11.5 | Error: 2.9248018507504296
Parameters: 2.0, 12.0 | Error: 3.02473003339606
Parameters: 2.0, 12.5 | Error: 3.11705803241552
Parameters: 2.0, 13.0 | Error: 3.20176510472367
Parameters: 2.0, 13.5 | Error: 3.27948986114515
Parameters: 2.0, 14.0 | Error: 3.3502911852281603
Parameters: 2.0, 14.5 | Error: 3.41507250807261
Parameters: 2.0, 15.0 | Error: 3.4739221620083
Parameters: 2.1, 7.0 | Error: 2.7420807309894037
Parameters: 2.1, 7.5 | Error: 2.408058165050842
Parameters: 2.1, 8.0 | Error: 2.30894171871046
Parameters: 2.1, 8.5 | Error: 2.33148571591126
Parameters: 2.1, 9.0 | Error: 2.4152573033816296
Parameters: 2.1, 9.5 | Error: 2.5269043377679097
Parameters: 2.1, 10.0 | Error: 2.6484048206486
Parameters: 2.1, 10.5 | Error: 2.7699569684436103
Parameters: 2.1, 11.0 | Error: 2.88643718062701
Parameters: 2.1, 11.5 | Error: 2.99569726802122
Parameters: 2.1, 12.0 | Error: 3.09642306560973
Parameters: 2.1, 12.5 | Error: 3.18880255924845
Parameters: 2.1, 13.0 | Error: 3.27306368556652
Parameters: 2.1, 13.5 | Error: 3.34969046102284
Parameters: 2.1, 14.0 | Error: 3.41924091058775
Parameters: 2.1, 14.5 | Error: 3.4824261637802696
Parameters: 2.1, 15.0 | Error: 3.5399719576594
Parameters: 2.2, 7.0 | Error: 2.52572912301444
Parameters: 2.2, 7.5 | Error: 2.30658431739761
Parameters: 2.2, 8.0 | Error: 2.27705045585564
Parameters: 2.2, 8.5 | Error: 2.34250380110083
Parameters: 2.2, 9.0 | Error: 2.45253317935053
Parameters: 2.2, 9.5 | Error: 2.5802370923912097
Parameters: 2.2, 10.0 | Error: 2.71114693195506
Parameters: 2.2, 10.5 | Error: 2.8380855024446703
Parameters: 2.2, 11.0 | Error: 2.95726838023321
Parameters: 2.2, 11.5 | Error: 3.06739590062834
Parameters: 2.2, 12.0 | Error: 3.1681914411707197
Parameters: 2.2, 12.5 | Error: 3.2598632289797997
Parameters: 2.2, 13.0 | Error: 3.3428738604604
Parameters: 2.2, 13.5 | Error: 3.41800719425211
Parameters: 2.2, 14.0 | Error: 3.48596714543775
Parameters: 2.2, 14.5 | Error: 3.5475641447304
Parameters: 2.2, 15.0 | Error: 3.6034319622006903
Parameters: 2.3, 7.0 | Error: 2.375106273991424
Parameters: 2.3, 7.5 | Error: 2.2476277867501198
Parameters: 2.3, 8.0 | Error: 2.27322259340393
Parameters: 2.3, 8.5 | Error: 2.37173029325049
Parameters: 2.3, 9.0 | Error: 2.50151493900823
Parameters: 2.3, 9.5 | Error: 2.64075245424376
Parameters: 2.3, 10.0 | Error: 2.7781309694889
Parameters: 2.3, 10.5 | Error: 2.9082600770727103
Parameters: 2.3, 11.0 | Error: 3.02874645528226
Parameters: 2.3, 11.5 | Error: 3.13885429338236
Parameters: 2.3, 12.0 | Error: 3.23882786805345
Parameters: 2.3, 12.5 | Error: 3.3289813963577197
Parameters: 2.3, 13.0 | Error: 3.41040144461452
Parameters: 2.3, 13.5 | Error: 3.4837475204894
Parameters: 2.3, 14.0 | Error: 3.5499450647356703
Parameters: 2.3, 14.5 | Error: 3.6097902520285796
Parameters: 2.3, 15.0 | Error: 3.6638539418682097
Parameters: 2.4, 7.0 | Error: 2.2738572084836104
Parameters: 2.4, 7.5 | Error: 2.22055804836248
Parameters: 2.4, 8.0 | Error: 2.2895207317795903
Parameters: 2.4, 8.5 | Error: 2.4135740233440304
Parameters: 2.4, 9.0 | Error: 2.55826225641791
Parameters: 2.4, 9.5 | Error: 2.70558025692509
Parameters: 2.4, 10.0 | Error: 2.84719145355427
Parameters: 2.4, 10.5 | Error: 2.9789049362807303
Parameters: 2.4, 11.0 | Error: 3.0994490048851198
Parameters: 2.4, 11.5 | Error: 3.2087016659075402
Parameters: 2.4, 12.0 | Error: 3.30715789655087
Parameters: 2.4, 12.5 | Error: 3.3956565141661503
Parameters: 2.4, 13.0 | Error: 3.47524957537257
Parameters: 2.4, 13.5 | Error: 3.54662470299004
Parameters: 2.4, 14.0 | Error: 3.61090811701027
Parameters: 2.4, 14.5 | Error: 3.6689308463177
Parameters: 2.4, 15.0 | Error: 3.7212617576786102
Parameters: 2.5, 7.0 | Error: 2.2107884455650098
Parameters: 2.5, 7.5 | Error: 2.21697109871852
Parameters: 2.5, 8.0 | Error: 2.3203746673197303
Parameters: 2.5, 8.5 | Error: 2.46428146317784
Parameters: 2.5, 9.0 | Error: 2.6196774229846
Parameters: 2.5, 9.5 | Error: 2.77259323443673
Parameters: 2.5, 10.0 | Error: 2.9165617794003698
Parameters: 2.5, 10.5 | Error: 3.04869915737146
Parameters: 2.5, 11.0 | Error: 3.16851851782654
Parameters: 2.5, 11.5 | Error: 3.2763753601931
Parameters: 2.5, 12.0 | Error: 3.37294159881974
Parameters: 2.5, 12.5 | Error: 3.45946019532788
Parameters: 2.5, 13.0 | Error: 3.5369100972431697
Parameters: 2.5, 13.5 | Error: 3.6064249485123603
Parameters: 2.5, 14.0 | Error: 3.66881143971371
Parameters: 2.5, 14.5 | Error: 3.7249642282414204
Parameters: 2.5, 15.0 | Error: 3.77548327347187
Parameters: 2.6, 7.0 | Error: 2.1764518439005798
Parameters: 2.6, 7.5 | Error: 2.23095509393213
Parameters: 2.6, 8.0 | Error: 2.36178737824803
