          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    1.68883E-01    3.88761E-17    5.56156E-17    9.19712E-19    2.28879E-17    9.14265E-19    1.68883E-01
        0.700    1.78377E-01    1.32697E-17    1.72682E-17    8.40962E-20    2.12578E-17    8.36001E-20    1.78377E-01
        0.899    1.51890E-01    9.02840E-18    1.11673E-17    1.35539E-20    1.95435E-17    1.35005E-20    1.51890E-01
        1.098    1.15197E-01    6.58953E-18    8.27022E-18    3.07322E-21    1.78887E-17    3.07080E-21    1.15197E-01
        1.297    8.14452E-02    4.78083E-18    6.30413E-18    8.76809E-22    1.63654E-17    8.79581E-22    8.14452E-02
        1.496    5.50500E-02    3.44234E-18    4.86686E-18    2.95807E-22    1.50010E-17    2.98084E-22    5.50500E-02
        1.696    3.60859E-02    2.47043E-18    3.79359E-18    1.13260E-22    1.37932E-17    1.14695E-22    3.60859E-02
        1.895    2.31596E-02    1.77435E-18    2.98440E-18    4.79310E-23    1.27303E-17    4.87941E-23    2.31596E-02
        2.138    1.32494E-02    1.19295E-18    2.25750E-18    2.05307E-23    1.15686E-17    2.10650E-23    1.32494E-02
        2.438    6.51668E-03    7.38701E-19    1.62449E-18    7.34581E-24    1.02944E-17    7.60647E-24    6.51668E-03
        2.779    2.86364E-03    4.36543E-19    1.13904E-18    2.59339E-24    9.08414E-18    2.71413E-24    2.86364E-03
        3.179    1.07764E-03    2.41714E-19    7.68805E-19    8.92612E-25    7.95509E-18    9.46478E-25    1.07764E-03
        3.618    3.67003E-04    1.30661E-19    5.12809E-19    2.98515E-25    6.97354E-18    3.19822E-25    3.67003E-04
        4.118    1.07399E-04    6.75053E-20    3.33666E-19    1.05794E-25    6.07019E-18    1.15165E-25    1.07399E-04
        4.656    2.88845E-05    3.48072E-20    2.17672E-19    3.92184E-26    5.28447E-18    4.34235E-26    2.88845E-05
        5.386    4.92235E-06    1.51980E-20    1.27274E-19    1.30425E-26    4.47213E-18    1.49235E-26    4.92235E-06
          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.502    1.75378E-01    3.92646E-17    5.57600E-17    9.19725E-19    2.28879E-17    9.14265E-19    1.75378E-01
        0.700    1.85237E-01    1.35708E-17    1.73771E-17    8.40967E-20    2.12578E-17    8.36001E-20    1.85237E-01
        0.899    1.57731E-01    9.26144E-18    1.12481E-17    1.35539E-20    1.95435E-17    1.35005E-20    1.57731E-01
        1.098    1.19628E-01    6.76213E-18    8.32994E-18    3.07323E-21    1.78887E-17    3.07080E-21    1.19628E-01
        1.297    8.45774E-02    4.90556E-18    6.34855E-18    8.76810E-22    1.63654E-17    8.79581E-22    8.45774E-02
        1.496    5.71671E-02    3.53150E-18    4.90025E-18    2.95808E-22    1.50010E-17    2.98084E-22    5.71671E-02
        1.696    3.74737E-02    2.53396E-18    3.81899E-18    1.13260E-22    1.37932E-17    1.14695E-22    3.74737E-02
        1.895    2.40503E-02    1.81969E-18    3.00395E-18    4.79310E-23    1.27303E-17    4.87941E-23    2.40503E-02
        2.138    1.37589E-02    1.22324E-18    2.27197E-18    2.05307E-23    1.15686E-17    2.10650E-23    1.37589E-02
        2.438    6.76730E-03    7.57355E-19    1.63468E-18    7.34581E-24    1.02944E-17    7.60647E-24    6.76730E-03
        2.779    2.97377E-03    4.47527E-19    1.14604E-18    2.59339E-24    9.08414E-18    2.71413E-24    2.97377E-03
        3.179    1.11908E-03    2.47786E-19    7.73452E-19    8.92612E-25    7.95509E-18    9.46478E-25    1.11908E-03
